day,daytime,duration,personAmount,personType
13.05.2019,,,,
,Morning,,,
,,<10min,1,family
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,10-30min,1,partner(gf/bf)
,,,,
,,,,
,,,,
14.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
15.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
16.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
17.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
18.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
19.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
20.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
21.05.2019,,,,
,Morning,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,30-60min,2,mixed
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,>60min,3-4,flatmates
,,,,
,,,,
22.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,4-10,mixed
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
23.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,<10min,1,partner(gf/bf)
,,,,
,,,,
,,,,
24.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,family
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
25.05.2019,,,,
,Morning,,,
,,>60min,1,family
,,>60min,4-10,family
,,,,
,,,,
,Noon,,,
,,>60min,>10,mixed
,,10-30min,1,family
,,,,
,,,,
,Evening,,,
,,>60min,4-10,mixed
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
26.05.2019,,,,
,Morning,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
